Kalenderår	Kod	Benämning	Omfattning	Enhet	Nivå inom studieordning	Kvinnor	Män	Total
"2018"	"BE3002"	"Numeriska metoder för fysiker I"	"7	5"	"HP"	"Grundnivå"	"0"	"0	05"	"0	05"
"2019"	"BE3002"	"Numeriska metoder för fysiker I"	"7	5"	"HP"	"Grundnivå"	"0"	"0	125"	"0	125"
"2021"	"BE3002"	"Numeriska metoder för fysiker I"	"7	5"	"HP"	"Grundnivå"	"0"	"0	05"	"0	05"
"2017"	"BE3003"	"Numeriska metoder"	"7	5"	"HP"	"Grundnivå"	"0	275"	"0	125"	"0	4"
"2018"	"BE3003"	"Numeriska metoder"	"7	5"	"HP"	"Grundnivå"	"0	075"	"0	325"	"0	4"
"2019"	"BE3003"	"Numeriska metoder"	"7	5"	"HP"	"Grundnivå"	"0"	"0	375"	"0	375"
"2017"	"BE3009"	"Tillämpade numeriska metoder"	"7	5"	"HP"	"Grundnivå"	"0"	"0	2"	"0	2"
"2018"	"BE3009"	"Tillämpade numeriska metoder"	"7	5"	"HP"	"Grundnivå"	"0"	"0	125"	"0	125"
"2019"	"BE3009"	"Tillämpade numeriska metoder"	"7	5"	"HP"	"Grundnivå"	"0"	"0	125"	"0	125"
"2020"	"BE3009"	"Tillämpade numeriska metoder"	"7	5"	"HP"	"Grundnivå"	"0	2"	"0	075"	"0	275"
